Path,ID,LEVEL,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,ALCOHOL_L1_NAME,ALCOHOL_L1_ID,ALCOHOL_L2_NAME,ALCOHOL_L2_ID,BABY_L1_NAME,BABY_L1_ID,BABY_L2_NAME,BABY_L2_ID,BEAUTY_L1_NAME,BEAUTY_L1_ID,BEAUTY_L2_NAME,BEAUTY_L2_ID,ELECTRONICS_L1_NAME,ELECTRONICS_L1_ID,ELECTRONICS_L2_NAME,ELECTRONICS_L2_ID,CnG_L1_NAME,CnG_L1_ID,CnG_L2_NAME,CnG_L2_ID,HOME_L1_NAME,HOME_L1_ID,HOME_L2_NAME,HOME_L2_ID,OFFICE_L1_NAME,OFFICE_L1_ID,OFFICE_L2_NAME,OFFICE_L2_ID,PET_L1_NAME,PET_L1_ID,PET_L2_NAME,PET_L2_ID,OUTDOOR_L1_NAME,OUTDOOR_L1_ID,OUTDOOR_L2_NAME,OUTDOOR_L2_ID,VITAMINS_L1_NAME,VITAMINS_L1_ID,VITAMINS_L2_NAME,VITAMINS_L2_ID,FEMALE_APPAREL_L1_NAME,FEMALE_APPAREL_L1_ID,FEMALE_APPAREL_L2_NAME,FEMALE_APPAREL_L2_ID,HOME_IMPROVEMENT_L1_NAME,HOME_IMPROVEMENT_L1_ID,HOME_IMPROVEMENT_L2_NAME,HOME_IMPROVEMENT_L2_ID,CBD_THC_L1_NAME,CBD_THC_L1_ID,CBD_THC_L2_NAME,CBD_THC_L2_ID,CRAFTS_L1_NAME,CRAFTS_L1_ID,CRAFTS_L2_NAME,CRAFTS_L2_ID,SPORTS_L1_NAME,SPORTS_L1_ID,SPORTS_L2_NAME,SPORTS_L2_ID,ASIAN_GROCERY_L1_NAME,ASIAN_GROCERY_L1_ID,ASIAN_GROCERY_L2_NAME,ASIAN_GROCERY_L2_ID,AUS_CNG_L1_NAME,AUS_CNG_L1_ID,AUS_CNG_L2_NAME,AUS_CNG_L2_ID,AUS_ALC_L1_NAME,AUS_ALC_L1_ID,AUS_ALC_L2_NAME,AUS_ALC_L2_ID,SUPERSTORE_L1_NAME,SUPERSTORE_L1_ID,SUPERSTORE_L2_NAME,SUPERSTORE_L2_ID
Alcohol > Alcohol Making Kits & Supplies,24,2,Alcohol,Alcohol Making Kits & Supplies,,,Bar Accessories,804225959500906521,Bar Tools,808745972277542944,,,,,,,,,,,,,Household,754,Cookware,1235,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Household,754,Cookware,1235,Household,754,Cookware,1235,Bar Accessories,804225959500906521,Bar Tools,808745972277542944,Household,754,Cookware,1235
Alcohol > Beer > Ales > Barleywine Ale,926,4,Alcohol,Beer,Ales,Barleywine Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Belgian Style Ale,921,4,Alcohol,Beer,Ales,Belgian Style Ale,Beer,1351,Belgian Ale,3050,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Belgian Ale,3050,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Blonde & Golden Ale,914,4,Alcohol,Beer,Ales,Blonde & Golden Ale,Beer,1351,Blonde Ale,3048,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Blonde Ale,3048,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Brown Ale,917,4,Alcohol,Beer,Ales,Brown Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Cream Ale,925,4,Alcohol,Beer,Ales,Cream Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Farmhouse Ale,928,4,Alcohol,Beer,Ales,Farmhouse Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Fruit Ale,929,4,Alcohol,Beer,Ales,Fruit Ale,Beer,1351,Fruit Beer,3054,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Hybrid Ale,930,4,Alcohol,Beer,Ales,Hybrid Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Other Ales,932,4,Alcohol,Beer,Ales,Other Ales,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Pale Ale,924,4,Alcohol,Beer,Ales,Pale Ale,Beer,1351,Pale Ale,3045,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Pale Ale,3045,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Pumpkin Ale,918,4,Alcohol,Beer,Ales,Pumpkin Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Red Ale,923,4,Alcohol,Beer,Ales,Red Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Sour Ale,911,4,Alcohol,Beer,Ales,Sour Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Style Ale,919,4,Alcohol,Beer,Ales,Style Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Wheat Ale,913,4,Alcohol,Beer,Ales,Wheat Ale,Beer,1351,Wheat Ale,3047,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Wheat Ale,3047,Alcohol,1024,Beer,1027
Alcohol > Beer > Ales > Wild Ale,920,4,Alcohol,Beer,Ales,Wild Ale,Beer,1351,Ale,2479,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Beer Variety Pack,169,3,Alcohol,Beer,Beer Variety Pack,,Beer,1351,Variety Pack,5123,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Variety Pack,5123,Alcohol,1024,Beer,1027
Alcohol > Beer > IPAs > American IPA,2716,4,Alcohol,Beer,IPAs,American IPA,Beer,1351,IPA,3044,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,IPA,3044,Alcohol,1024,Beer,1027
Alcohol > Beer > IPAs > Brut IPA,2718,4,Alcohol,Beer,IPAs,Brut IPA,Beer,1351,IPA,3044,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,IPA,3044,Alcohol,1024,Beer,1027
Alcohol > Beer > IPAs > Double / Imperial IPA,2717,4,Alcohol,Beer,IPAs,Double / Imperial IPA,Beer,1351,IPA,3044,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,IPA,3044,Alcohol,1024,Beer,1027
Alcohol > Beer > IPAs > New England / Hazy IPA,2714,4,Alcohol,Beer,IPAs,New England / Hazy IPA,Beer,1351,IPA,3044,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,IPA,3044,Alcohol,1024,Beer,1027
Alcohol > Beer > IPAs > Other IPAs,2751,4,Alcohol,Beer,IPAs,Other IPAs,Beer,1351,IPA,3044,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,IPA,3044,Alcohol,1024,Beer,1027
Alcohol > Beer > IPAs > Session IPA,2715,4,Alcohol,Beer,IPAs,Session IPA,Beer,1351,IPA,3044,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,IPA,3044,Alcohol,1024,Beer,1027
Alcohol > Beer > Kolsch,172,3,Alcohol,Beer,Kolsch,,Beer,1351,Lager,2481,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Ale,2479,Alcohol,1024,Beer,1027
Alcohol > Beer > Lager > Amber,937,4,Alcohol,Beer,Lager,Amber,Beer,1351,Lager,2481,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Lager,2481,Alcohol,1024,Beer,1027
Alcohol > Beer > Lager > American Lager,2711,4,Alcohol,Beer,Lager,American Lager,Beer,1351,Lager,2481,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Lager,2481,Alcohol,1024,Beer,1027
Alcohol > Beer > Lager > Dopplebock,935,4,Alcohol,Beer,Lager,Dopplebock,Beer,1351,Lager,2481,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Lager,2481,Alcohol,1024,Beer,1027
Alcohol > Beer > Lager > Japanese Lager,936,4,Alcohol,Beer,Lager,Japanese Lager,Beer,1351,Lager,2481,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Lager,2481,Alcohol,1024,Beer,1027
Alcohol > Beer > Lager > Light Lager,2709,4,Alcohol,Beer,Lager,Light Lager,Beer,1351,Lager,2481,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Lager,2481,Alcohol,1024,Beer,1027
Alcohol > Beer > Lager > Mexican Lager,2710,4,Alcohol,Beer,Lager,Mexican Lager,Beer,1351,Lager,2481,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Lager,2481,Alcohol,1024,Beer,1027
Alcohol > Beer > Lager > Other Lagers,938,4,Alcohol,Beer,Lager,Other Lagers,Beer,1351,Lager,2481,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Lager,2481,Alcohol,1024,Beer,1027
Alcohol > Beer > Lager > Pilsners,934,4,Alcohol,Beer,Lager,Pilsners,Beer,1351,Pilsner,3053,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Beer,1027,Alcohol,1024,Beer,1027,Beer,1351,Pilsner,3053,Alcohol,1024,Beer,1027
Alcohol > Beer > Non-Alcoholic Beer,166,3,Alcohol,Beer,Non-Alcoholic Beer,,Beer,1351,Non-Alcoholic Beer,736925344688898075,,,,,,,,,,,,,Alcohol,1024,Alcohol-Free,1783,Drinks,751,Juice,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol,1024,Alcohol-Free,1783,Alcohol,1024,Alcohol-Free,1783,Beer,1351,Alcohol-Free,1783,Alcohol,1024,Alcohol-Free,1783
